懺	忏
徑	径
嘋	哮
辤	辞
們	们
鈓	銋
砂	沙
𪊨	麂
尟	鲜
訖	讫
嗇	啬
賻	赙
蔶	箦
銹	锈
輯	辑
嗚	呜
鰥	鳏
鰟	鳑
姧	奸
歀	款
槼	规
鑎	鐀
婙	婧
煭	烈
優	优
緯	纬
垅	垄
鮮	鲜
豔	艳
誫	震
鐐	镣
涖	莅
鋪	铺
𩟗	䭕
箠	棰
𫎛	貾
㗋	喉
欝	郁
𫞥	珼
竵	歪
佱	法
屚	漏
𫝯	學
覩	睹
稬	糯
軰	辈
殦	鸱
𫞖	民
盇	盍
広	廣
蔒	荤
脗	吻
棥	樊
釓	钆
軍	军
郷	乡
硷	碱
擝	掹
珀	琥
鴬	莺
癥	症
簁	篩
飲	饮
𡻒	嵍
㧖	扼
𫍳	諥
銅	铜
嬭	奶
鑷	镊
儍	傻
錳	锰
敶	陈
俢	修
鱔	鳝
鰮	鰛
衇	脉
窓	窗
饣	食
𥤡	䯂
諩	谱
剣	剑
醞	酝
槗	桥
慣	惯
癟	瘪
欎	鬱
劤	劲
遉	侦
鮙	鳎
穤	糯
鄴	邺
饅	馒
癇	痫
蓭	庵
燭	烛
孡	胎
護	护
嫷	媠
噟	譍
暉	晖
飩	饨
𧨢	詳
槶	椢
𠆣	寡
刢	伶
譡	谠
𫞿	簗
賭	赌
𫝲	尻
屛	屏
偼	倢
臏	膑
槀	槁
鍬	锹
𢪑	摡
壥	廛
譱	善
𦙶	股
噘	撅
鰾	鳔
諊	鞫
蠱	蛊
鏡	镜
鶞	鳻
𡢎	嬎
堈	缸
𫁩	昱
馹	驲
𨻲	㙤
訒	讱
勹	包
镗	嘡
鱒	鳟
㸔	看
変	变
卍	卐
蘐	萱
𡷫	峸
謝	谢
𣸸	添
齄	齇
𪤯	墩
繨	纥
穵	挖
𫟼	鐽
纟	糸
壂	殿
𠛎	鉤
靦	腼
餿	馊
蛵	虰
餝	饰
鷦	鹪
𫟒	葉
冪	幂
隕	陨
緽	赬
呩	嗜
郉	邢
椏	桠
濶	阔
猟	猎
栢	柏
冫	冰
齷	龌
豀	谿
龔	龚
繰	缲
墕	堰
褌	裈
裠	裙
鑑	鉴
聹	聍
篳	筚
萲	萱
㝬	胡
栱	枓
顰	颦
尠	鲜
㝉	宁
銞	钧
烮	烈
爲	为
𫠑	䱸
禰	祢
恡	吝
婭	娅
絳	绛
請	请
縱	纵
颳	刮
潷	滗
肐	胳
抴	曳
銑	铣
琾	玠
愯	悚
𣞤	無
獆	嗥
𠀍	世
賰	偆
醻	酬
縀	鞋
饒	饶
埜	野
樁	桩
痙	痉
惲	恽
嵝	岣
靵	纽
殘	残
鱓	鳝
屆	届
讋	詟
隭	陑
頷	颔
毺	毹
祍	衽
嚺	嚃
薲	蘋
繞	绕
懣	懑
穂	穗
萄	葡
𫠂	閝
殺	杀
媍	妇
槞	櫳
鴧	鴥
鎺	鈨
㴞	滔
矙	瞰
驤	骧
諞	谝
襶	褦
縉	缙
攨	搲
麁	粗
坃	埙
齭	齼
鼌	晁
綴	缀
鞉	鼗
𩏷	揫
燄	焰
槈	耨
䕧	茭
傴	伛
瑇	玳
謌	歌
対	对
廘	鹿
匲	奁
拻	豗
𪧧	室
擁	拥
澼	洴
戞	戛
箒	帚
鐊	钖
𫝑	勢
婁	娄
甞	尝
違	违
墪	墩
覲	觐
鍁	锨
輻	辐
褹	襼
㚷	嬭
𤓌	燃
繾	缱
蝑	蚣
𠻳	㘀
鑁	鍐
椾	笺
簮	簪
岈	嵖
塁	垒
潁	颍
䖿	蜊
搘	支
犢	犊
闞	阚
嶉	崣
嫰	嫩
靤	皰
㕠	雙
茩	薢
鰒	鳆
岺	岭
罳	罘
塤	埙
獣	兽
纘	缵
騤	骙
餮	饕
湐	洦
㞧	會
聲	声
擴	扩
𫝀	五
瑠	琉
娌	妯
𦕓	壻
跴	踩
蕆	蒇
聝	馘
嫹	媌
籌	筹
謊	谎
遢	邋
朿	刺
鱤	鳡
陖	峻
鈞	钧
詁	诂
圄	囹
飀	飗
櫏	桾
鱻	鲜
愴	怆
務	务
𦙿	貺
